Name,FullName,Type,Location,Country
Adelaide,Adelaide Street Circuit,Street,Adelaide,Australia
Aida,Okayama International Circuit,Race,Aida,Japan
Ain-Diab,Ain-Diab Circuit,Road,Casablanca,Morocco
Aintree,Aintree Motor Racing Circuit,Road,Aintree,United Kingdom
Anderstorp Raceway,Anderstorp Raceway,Race,Anderstorp,Sweden
Americas,Circuit of the Americas,Race,Austin,United States of America
AVUS,AVUS,Road,Berlin,Germany
Bahrain,Bahrain International Circuit,Race,Sakhir,Bahrain
Baku,Baku City Circuit,Street,Baku,Azerbaijan
Brands Hatch,Brands Hatch,Race,Fawkham,United Kingdom
Bremgarten,Circuit Bremgarten,Road,Bern,Switzerland
Buddh,Buddh International Circuit,Race,Greater Noida,India
Juan y Oscar Galvez,Autodromo Juan y Oscar Galvez,Race,Buenos Aires,Argentina
Bugatti,Bugatti Circuit,Race,Le Mans,France
Caesars Palace,Caesars Palace,Street,Las Vegas,United States of America
Catalunya,Circuit de Barcelona-Catalunya,Race,Montmelo,Spain
Charade,Charade Circuit,Road,Clermont-Ferrand,France
Fair Park,Fair Park,Street,Dallas,United States of America
Detroit,Detroit Street Circuit,Street,Detroit,United States of America
Dijon-Prenois,Dijon-Prenois,Race,Dijon,France
Donington Park,Donington Park,Race,Leicestershire,United Kingdom
Prince George,Prince George Circuit,Race,East London,South Africa
Estoril,Autodromo do Estoril,Race,Estoril,Portugal
Fuji,Fuji Speedway,Race,Oyama,Japan
Hockenheimring,Hockenheimring,Race,Hockenheim,Germany
Hungaroring,Hungaroring,Race,Budapest,Hungary
Enzo e Dino Ferrari,Autodromo Internazionale Enzo e Dino Ferrari,Race,Imola,Italy
Indianapolis,Indianapolis Motor Speedway,Race,Indianapolis,United States of America
Jose Carlos Pace,Autodromo Jose Carlos Pace,Race,Sao Paulo,Brazil
Istanbul Park,Istanbul Park,Race,Istanbul,Turkey
Nelson Piquet,Autodromo Internacional Nelson Piquet,Race,Rio de Janeiro,Brazil
Jarama,Circuito del Jarama,Race,Madrid,Spain
Jeddah,Jeddah Corniche Circuit,Street,Jeddah,Saudi Arabia
Jerez,Circuito de Jerez,Race,Jerez de la Frontera,Spain
Kyalami,Kyalami Racing Circuit,Race,Midrand,South Africa
Las Vegas,Las Vegas Street Circuit,Street,Las Vegas,United States of America
Long Beach,Long Beach,Street,Long Beach,United States of America
Losail,Losail International Circuit,Race,Lusail,Qatar
Magny-Cours,Circuit de Nevers Magny-Cours,Race,Nevers,France
Marina Bay,Marina Bay Street Circuit,Street,Singapore,Singapore
Melbourne,Melbourne Grand Prix Circuit,Street,Melbourne,Australia
Hermanos Rodriguez,Autodromo Hermanos Rodriguez,Race,Mexico City,Mexico
Miami,Miami International Autodrome,Street,Miami Gardens,United States of America
Monaco,Circuit de Monaco,Street,Monte Carlo,Monaco
Monsanto,Circuito de Monsanto,Street,Lisbon,Portugal
Mont-Tremblant,Circuit Mont-Tremblant,Race,Mont-Tremblant,Canada
Montjuic,Circuito de Montjuic,Street,Barcelona,Spain
Gilles Villeneuve,Circuit Gilles Villeneuve,Street,Montreal,Canada
Monza,Autodromo Nazionale Monza,Race,Monza,Italy
Mosport,Canadian Tire Motorsport Park,Race,Bowmanville,Canada
Mugello,Autodromo Internazionale del Mugello,Race,Scarperia e San Piero,Italy
Nivelles-Baulers,Nivelles-Baulers,Race,Nivelles,Belgium
Nurburgring,Nurburgring,Race,Nurburg,Germany
Paul Ricard,Circuit Paul Ricard,Race,Le Castellet,France
Pedralbes,Pedralbes Circuit,Street,Barcelona,Spain
Pescara,Pescara Circuit,Road,Pescara,Italy
Phoenix,Phoenix Street Circuit,Street,Phoenix,United States of America
Portimao,Algarve International Circuit,Race,Portimao,Portugal
Boavista,Circuito da Boavista,Street,Porto,Portugal
Reims-Gueux,Reims-Gueux,Road,Reims,France
Riverside,Riverside International Raceway,Race,Riverside,United States of America
Rouen-Les-Essarts,Rouen-Les-Essarts,Road,Rouen,France
Sebring,Sebring International Raceway,Road,Sebring,United States of America
Sepang,Sepang International Circuit,Race,Sepang,Malaysia
Shanghai,Shanghai International Circuit,Race,Shanghai,China
Silverstone,Silverstone Circuit,Race,Silverstone,United Kingdom
Sochi,Sochi Autodrom,Road,Sochi,Russia
Spa-Francorchamps,Circuit de Spa-Francorchamps,Race,Spa,Belgium
Red Bull Ring,Red Bull Ring,Race,Spielberg,Austria
Suzuka,Suzuka Circuit,Race,Suzuka,Japan
Valencia,Valencia Street Circuit,Street,Valencia,Spain
Watkins Glen,Watkins Glen International,Race,Watkins Glen,United States of America
Yas Marina,Yas Marina Circuit,Race,Abu Dhabi,United Arab Emirates
Korea,Korea International Circuit,Race,Yeongam,South Korea
Zandvoort,Circuit Park Zandvoort,Race,Zandvoort,Netherlands
Zeltweg,Zeltweg,Road,Zeltweg,Austria
Zolder,Circuit Zolder,Race,Heusden-Zolder,Belgium
