Name,FullName,Country
Adams,Adams,United States of America
AFM,Alex von Falkenhausen Motorenbau,Germany
AGS,Automobiles Gonfaronnaises Sportives,France
Alfa Romeo,Alfa Romeo Racing,Italy
Alfa Special,Alfa Special,South Africa
AlphaTauri,Scuderia AlphaTauri,Italy
Alpine,Alpine F1 Team,France
Alta,Alta Car and Engineering Company,United Kingdom
Amon,Chris Amon Racing,New Zealand
Andrea Moda,Andrea Moda Formula,Italy
Apollon,Apollon,Switzerland
Arrows,Arrows Grand Prix International,United Kingdom
Arzani-Volpini,Scuderia Arzani-Volpini,Italy
Aston Butterworth,Aston Butterworth,United Kingdom
Aston Martin,Aston Martin,United Kingdom
ATS,ATS Wheels,Germany
ATS,Automobili Turismo e Sport,Italy
Balsa,Balsa,Germany
BAR,British American Racing,United Kingdom
Behra-Porsche,Behra-Porsche,Germany
Bellasi,Bellasi,Italy
Benetton,Benetton Formula,Italy
BMW Sauber,BMW Sauber F1 Team,Germany
BMW,BMW,Germany
Boro,Boro,Netherlands
Brabham,Motor Racing Developments,United Kingdom
Brawn,Brawn GP Formula One Team,United Kingdom
BRM,British Racing Motors,United Kingdom
Bromme,Bromme,United States of America
BRP,British Racing Partnership,United Kingdom
Bugatti,Bugatti,France
Caterham,Caterham F1 Team,Malaysia
Christensen,Christensen,United States of America
Cisitalia,Cisitalia,Italy
Coloni,Scuderia Coloni,Italy
Connaught,Connaught Engineering,United Kingdom
Connew,Connew Racing Team,United Kingdom
Cooper,Cooper Car Company,United Kingdom
Dallara,Dallara Automobili,Italy
De Tomaso,De Tomaso Modena,Italy
Deidt,Deidt,United States of America
Del Roy,Del Roy,United States of America
Derrington-Francis,Derrington-Francis Racing Team,United Kingdom
Dunn,Dunn,United States of America
Eagle,All American Racers,United States of America
Eifelland,Team Eifelland Caravans,Germany
Elder,Elder,United States of America
Emeryson,Emeryson Cars,United Kingdom
EMW,Eisenacher Motorenwerk,Germany
ENB,Ecurie National Belge,Belgium
Ensign,Ensign Racing,United Kingdom
Epperly,Epperly,United States of America
ERA,English Racing Automobiles,United Kingdom
EuroBrun,EuroBrun Racing,Italy
Ewing,Ewing,United States of America
Ferguson,Harry Ferguson Research,United Kingdom
Ferrari,Scuderia Ferrari,Italy
FIRST,FIRST Racing,Italy
Fittipaldi,Fittipaldi Automotive,Brazil
Fondmetal,Fondmetal,Italy
Footwork,Footwork Arrows,United Kingdom
Force India,Force India F1 Team,India
Forti,Forti Corse,Italy
Frank Williams Racing Cars,Frank Williams Racing Cars,United Kingdom
Frazer-Nash,Frazer-Nash,United Kingdom
Fry,Fry Racing Team,United Kingdom
Gilby,Gilby Engineering,United Kingdom
Gordini,Gordini,France
Greifzu,Greifzu,Germany
Haas,Haas F1 Team,United States of America
Hall,Hall,United States of America
Heck,Heck,Germany
Hesketh,Hesketh Racing,United Kingdom
Hill,Embassy Racing With Graham Hill,United Kingdom
Honda,Honda Racing F1 Team,Japan
HRT,Hispania Racing Team,Spain
HWM,Hersham and Walton Motors,United Kingdom
Iso-Marlboro,Iso-Marlboro,United Kingdom
Jaguar,Jaguar Racing F1 Team,United Kingdom
JBW,JBW Cars,United Kingdom
Jordan,Jordan Grand Prix,Ireland
Kauhsen,Kauhsen,Germany
Kick Sauber,Kick Sauber F1 Team,Germany
Klenk,Klenk,Germany
Kojima,Kojima Engineering,Japan
Krakau,Krakau,Germany
Kurtis Kraft,Kurtis Kraft,United States of America
Kuzma,Kuzma,United States of America
Lancia,Lancia,Italy
Langley,Langley,United States of America
Larrousse,Larrousse F1,France
LDS,LDS,South Africa
LEC,LEC Refrigeration Racing,United Kingdom
Lesovsky,Lesovsky,United States of America
Leyton House,Leyton House Racing,United Kingdom
Life,Life Racing Engines,Italy
