Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
1950,1,1950-05-13,Great Britain,Silverstone,1950 RAC British Grand Prix,Race,70,325.43,4.649
1950,2,1950-05-21,Monaco,Monaco,Grand Prix de Monaco 1950,Street,100,318.1,3.181
1950,3,1950-05-30,Indianapolis,Indianapolis,1950 Indianapolis 500,Race,138,555.224,4.023
1950,4,1950-06-04,Switzerland,Bremgarten,Grosser Preis der Schweiz 1950,Road,42,305.76,7.28
1950,5,1950-06-18,Belgium,Spa-Francorchamps,1950 Belgian Grand Prix,Road,35,494.2,14.12
1950,6,1950-07-02,France,Reims,Grand Prix de France 1950,Road,64,500.16,7.815
1950,7,1950-09-03,Italy,Monza,Gran Premio d'Italia 1950,Race,80,504.0,6.3
1951,1,1951-05-27,Switzerland,Bremgarten,Grosser Preis der Schweiz 1951,Road,42,305.76,7.28
1951,2,1951-05-30,Indianapolis,Indianapolis,1951 Indianapolis 500,Race,200,804.672,4.023
1951,3,1951-06-17,Belgium,Spa-Francorchamps,1951 Belgian Grand Prix,Road,36,508.32,14.12
1951,4,1951-07-01,France,Reims,Grand Prix de France 1951,Road,77,601.755,7.815
1951,5,1951-07-14,Great Britain,Silverstone,1951 RAC British Grand Prix,Race,90,418.41,4.649
1951,6,1951-07-29,Germany,Nurburgring,Grosser Preis von Deutschland 1951,Road,20,456.2,22.81
1951,7,1951-09-16,Italy,Monza,Gran Premio d'Italia 1951,Race,80,504.0,6.3
1951,8,1951-10-28,Spain,Pedralbes,Gran Premio de Espana 1951,Street,70,442.12,6.316
1952,1,1952-05-18,Switzerland,Bremgarten,Grosser Preis der Schweiz 1952,Road,62,451.36,7.28
1952,2,1952-05-30,Indianapolis,Indianapolis,1952 Indianapolis 500,Race,200,804.672,4.023
1952,3,1952-06-22,Belgium,Spa-Francorchamps,1952 Belgian Grand Prix,Road,36,508.32,14.12
1952,4,1952-07-06,France,Rouen-Les-Essarts,Grand Prix de France 1952,Road,77,392.7,5.1
1952,5,1952-07-19,Great Britain,Silverstone,1952 RAC British Grand Prix,Race,85,400.435,4.711
