Circuit,RaceCount
Monza,74
Monaco,70
Silverstone,59
Spa-Francorchamps,57
Montreal,43
Nurburgring,41
Interlagos,41
Hungaroring,39
Spielberg,38
Hockenheimring,37
Zandvoort,34
Suzuka,34
Catalunya,34
Imola,31
Melbourne,27
Mexico City,24
Bahrain,21
Watkins Glen,20
Kyalami,20
Buenos Aires,20
Sepang,19
Indianapolis,19
Paul Ricard,18
Magny-Cours,18
Shanghai,17
Yas Marina,16
Marina Bay,15
Brands Hatch,14
Estoril,13
Austin,12
Reims,11
Adelaide,11
Zolder,10
Jacarepagua,10
Jarama,9
Istanbul,9
Sochi,8
Mosport,8
Long Beach,8
Baku,8
Jerez,7
Detroit,7
Dijon,6
Anderstorp,6
Valencia,5
Rouen-Les-Essarts,5
Bremgarten,5
Aintree,5
Yeongam,4
Montjuic,4
Jeddah,4
Fuji,4
Clermont Ferrand,4
Phoenix,3
Miami,3
Losail,3
East London,3
Buddh,3
Porto,2
Portimao,2
Pedralbes,2
Nivelles,2
Mont-Tremblant,2
Las Vegas,2
Caesars Palace,2
Aida,2
Zeltweg,1
Sebring,1
Riverside,1
Pescara,1
Mugello,1
Monsanto,1
Donington,1
Dallas,1
Bugatti,1
Avus,1
Ain-Diab,1
