Constructor,NumberOfDNFs
Ferrari,628
Lotus,582
McLaren,526
Brabham,459
Williams,458
Arrows,354
Tyrrell,346
Minardi,325
Renault,268
Sauber,261
Ligier,259
BRM,250
March,244
Jordan,213
Cooper,203
Maserati,199
Benetton,175
Alfa Romeo,163
Toro Rosso,159
Lola,137
Red Bull,119
Osella,119
Shadow,98
Surtees,96
BAR,88
Force India,82
Jaguar,74
Prost,73
Toyota,72
Dallara,70
Mercedes,68
Toleman,65
ATS,65
Haas,62
Gordini,62
Caterham,62
Ensign,56
Zakspeed,54
Stewart,54
Fittipaldi,51
Honda,48
Vanwall,42
Talbot-Lago,40
RAM,39
Matra,38
Leyton House,36
Hesketh,34
HRT,32
Pacific,31
Larrousse,31
Connaught,30
Wolf,28
Super Aguri,27
AGS,25
HWM,24
Forti,24
Virgin,22
Eagle,22
Aston Martin,22
Theodore,20
Simtek,20
Fondmetal,20
Venturi,19
Simca-Gordini,19
Marussia,17
Penske,16
Onyx,15
Spyker,14
Porsche,14
Midland,13
Veritas,11
Spirit,11
Rial,11
Eurobrun,11
Tecno,10
De Tomaso,10
Merzario,9
Coloni,9
Manor,8
Lancia,8
Hill,8
ERA,8
BRP,8
Parnelli,7
Scirocco,6
AFM,5
LDS,4
JBW,4
Trojan,3
OSCA,3
Boro,3
Scarab,2
Modena,2
Gilby,2
Frazer Nash,2
Emeryson,2
Eifelland,2
Brawn,2
Bellasi,2
Aston Butterworth,2
Alta,2
Token,1
Tec Mec,1
Shannon,1
Reif,1
Rebaque,1
Protos,1
Politoys,1
Nacke,1
Martini,1
LEC,1
Kurtis Kraft,1
Kojima,1
Klenk,1
EMW,1
Derrington Francis,1
Connew,1
Bugatti,1
Balsa,1
Andrea Moda,1
Amon,1
Alfa Special,1
