Season,ConstructorCount
1950,23
1951,24
1952,29
1953,22
1954,19
1955,19
1956,15
1957,14
1958,16
1959,24
1960,21
1961,10
1962,12
1963,15
1964,10
1965,8
1966,10
1967,12
1968,11
1969,10
1970,11
1971,10
1972,13
1973,12
1974,20
1975,19
1976,19
1977,21
1978,20
1979,18
1980,15
1981,17
1982,17
1983,16
1984,15
1985,17
1986,14
1987,16
1988,18
1989,20
1990,19
1991,18
1992,16
1993,13
1994,14
1995,13
1996,11
1997,12
1998,11
1999,11
2000,11
2001,11
2002,11
2003,10
2004,10
2005,10
2006,11
2007,11
2008,11
2009,10
2010,12
2011,12
2012,11
2013,10
2014,10
2015,10
2016,11
2017,10
2018,10
2019,10
2020,10
2021,10
2022,10
2023,10
2024,10
