Season,EngineManufacturerCount
1950,12
1951,13
1952,16
1953,12
1954,11
1955,9
1956,10
1957,10
1958,10
1959,11
1960,10
1961,6
1962,8
1963,9
1964,7
1965,6
1966,9
1967,10
1968,10
1969,7
1970,5
1971,6
1972,5
1973,4
1974,3
1975,4
1976,5
1977,6
1978,5
1979,4
1980,4
1981,6
1982,7
1983,8
1984,8
1985,10
1986,10
1987,9
1988,7
1989,7
1990,8
1991,9
1992,8
1993,8
1994,9
1995,8
1996,8
1997,8
1998,8
1999,8
2000,9
2001,9
2002,8
2003,8
2004,8
2005,7
2006,7
2007,6
2008,6
2009,5
2010,4
2011,4
2012,4
2013,4
2014,3
2015,4
2016,4
2017,5
2018,4
2019,4
2020,4
2021,4
2022,4
2023,4
2024,4
