,Season,ChampionshipPosition,RacesWon,Podiums,PolePositions,FastestLaps,InvertedChampionshipPosition,SeasonLabel,ScaledInvertedChampionshipPosition
0,1984,9.0,0.0,3.0,0.0,1.0,1.0,1984 (9),1.4444444444444444
1,1985,4.0,2.0,6.0,7.0,3.0,6.0,1985 (4),8.666666666666666
2,1986,4.0,2.0,8.0,8.0,0.0,6.0,1986 (4),8.666666666666666
3,1987,3.0,2.0,8.0,1.0,3.0,7.0,1987 (3),10.11111111111111
4,1988,1.0,8.0,11.0,13.0,3.0,9.0,1988 (1),13.0
5,1989,2.0,6.0,7.0,13.0,3.0,8.0,1989 (2),11.555555555555555
6,1990,1.0,6.0,11.0,10.0,2.0,9.0,1990 (1),13.0
7,1991,1.0,7.0,12.0,8.0,2.0,9.0,1991 (1),13.0
8,1992,4.0,3.0,7.0,1.0,1.0,6.0,1992 (4),8.666666666666666
9,1993,2.0,5.0,7.0,1.0,1.0,8.0,1993 (2),11.555555555555555
10,1994,0.0,0.0,0.0,3.0,1.0,0.0,1994 (0),0.0
