,Season,ChampionshipPosition
0,1958,2.0
1,1959,2.0
2,1960,3.0
3,1961,1.0
4,1962,5.0
5,1963,4.0
6,1964,1.0
7,1965,4.0
8,1966,2.0
9,1967,4.0
10,1968,4.0
11,1969,5.0
12,1970,2.0
13,1971,3.0
14,1972,4.0
15,1973,6.0
16,1974,2.0
17,1975,1.0
18,1976,1.0
19,1977,1.0
20,1978,2.0
21,1979,1.0
22,1980,10.0
23,1981,5.0
24,1982,1.0
25,1983,1.0
26,1984,2.0
27,1985,2.0
28,1986,4.0
29,1987,4.0
30,1988,2.0
31,1989,3.0
32,1990,2.0
33,1991,3.0
34,1992,4.0
35,1993,4.0
36,1994,3.0
37,1995,3.0
38,1996,2.0
39,1997,2.0
40,1998,2.0
41,1999,1.0
42,2000,1.0
43,2001,1.0
44,2002,1.0
45,2003,1.0
46,2004,1.0
47,2005,3.0
48,2006,2.0
49,2007,1.0
50,2008,1.0
51,2009,4.0
52,2010,3.0
53,2011,3.0
54,2012,2.0
55,2013,3.0
56,2014,4.0
57,2015,2.0
58,2016,3.0
59,2017,2.0
60,2018,2.0
61,2019,2.0
62,2020,6.0
63,2021,3.0
64,2022,2.0
65,2023,3.0
66,2024,2.0
