,Season,ChampionshipPosition,RacesWon,Podiums,PolePositions,FastestLaps,InvertedChampionshipPosition,SeasonLabel,ScaledInvertedChampionshipPosition
0,2007,2.0,4.0,12,6.0,2.0,6.0,2007 (2),14.57142857142857
1,2008,1.0,5.0,10,7.0,1.0,7.0,2008 (1),17.0
2,2009,5.0,2.0,5,4.0,0.0,3.0,2009 (5),7.285714285714285
3,2010,4.0,3.0,9,1.0,5.0,4.0,2010 (4),9.714285714285714
4,2011,5.0,3.0,6,1.0,3.0,3.0,2011 (5),7.285714285714285
5,2012,4.0,4.0,7,7.0,1.0,4.0,2012 (4),9.714285714285714
6,2013,4.0,1.0,5,5.0,1.0,4.0,2013 (4),9.714285714285714
7,2014,1.0,11.0,16,7.0,7.0,7.0,2014 (1),17.0
8,2015,1.0,10.0,17,11.0,8.0,7.0,2015 (1),17.0
9,2016,2.0,10.0,17,12.0,3.0,6.0,2016 (2),14.57142857142857
10,2017,1.0,9.0,13,11.0,7.0,7.0,2017 (1),17.0
11,2018,1.0,11.0,17,11.0,3.0,7.0,2018 (1),17.0
12,2019,1.0,11.0,17,5.0,6.0,7.0,2019 (1),17.0
13,2020,1.0,11.0,14,10.0,6.0,7.0,2020 (1),17.0
14,2021,2.0,8.0,17,5.0,6.0,6.0,2021 (2),14.57142857142857
15,2022,6.0,0.0,9,0.0,2.0,2.0,2022 (6),4.857142857142857
16,2023,3.0,0.0,6,1.0,3.0,5.0,2023 (3),12.142857142857142
17,2024,7.0,2.0,5,0.0,2.0,1.0,2024 (7),2.4285714285714284
