,Season,ChampionshipPosition,RacesWon,Podiums,PolePositions,FastestLaps,InvertedChampionshipPosition,SeasonLabel,ScaledInvertedChampionshipPosition
0,2015,12.0,0.0,0.0,0.0,0.0,1.0,2015 (12),1.75
1,2016,5.0,1.0,7.0,0.0,1.0,8.0,2016 (5),14.0
2,2017,6.0,2.0,4.0,0.0,1.0,7.0,2017 (6),12.25
3,2018,4.0,2.0,11.0,0.0,2.0,9.0,2018 (4),15.75
4,2019,3.0,3.0,9.0,2.0,3.0,10.0,2019 (3),17.5
5,2020,3.0,2.0,11.0,1.0,3.0,10.0,2020 (3),17.5
6,2021,1.0,10.0,18.0,10.0,6.0,12.0,2021 (1),21.0
7,2022,1.0,15.0,17.0,7.0,5.0,12.0,2022 (1),21.0
8,2023,1.0,19.0,21.0,12.0,9.0,12.0,2023 (1),21.0
9,2024,1.0,9.0,14.0,8.0,3.0,12.0,2024 (1),21.0
