,Season,ChampionshipPosition,RacesWon,Podiums,PolePositions,FastestLaps,InvertedChampionshipPosition,SeasonLabel,ScaledInvertedChampionshipPosition
0,1991,12.0,0.0,0.0,0.0,0.0,2.0,1991 (12),2.6153846153846154
1,1992,3.0,1.0,8.0,0.0,2.0,11.0,1992 (3),14.384615384615385
2,1993,4.0,1.0,9.0,0.0,5.0,10.0,1993 (4),13.076923076923077
3,1994,1.0,8.0,10.0,6.0,8.0,13.0,1994 (1),17.0
4,1995,1.0,9.0,11.0,4.0,8.0,13.0,1995 (1),17.0
5,1996,3.0,3.0,8.0,4.0,2.0,11.0,1996 (3),14.384615384615385
6,1997,0.0,5.0,8.0,3.0,3.0,0.0,1997 (0),0.0
7,1998,2.0,6.0,11.0,3.0,6.0,12.0,1998 (2),15.692307692307693
8,1999,5.0,2.0,6.0,3.0,5.0,9.0,1999 (5),11.76923076923077
9,2000,1.0,9.0,12.0,9.0,2.0,13.0,2000 (1),17.0
10,2001,1.0,9.0,14.0,11.0,3.0,13.0,2001 (1),17.0
11,2002,1.0,11.0,17.0,7.0,7.0,13.0,2002 (1),17.0
12,2003,1.0,6.0,8.0,5.0,5.0,13.0,2003 (1),17.0
13,2004,1.0,13.0,15.0,8.0,10.0,13.0,2004 (1),17.0
14,2005,3.0,1.0,5.0,1.0,3.0,11.0,2005 (3),14.384615384615385
15,2006,2.0,7.0,12.0,4.0,7.0,12.0,2006 (2),15.692307692307693
16,2010,9.0,0.0,0.0,0.0,0.0,5.0,2010 (9),6.538461538461538
17,2011,8.0,0.0,0.0,0.0,0.0,6.0,2011 (8),7.846153846153847
18,2012,13.0,0.0,1.0,0.0,1.0,1.0,2012 (13),1.3076923076923077
