,Season,ChampionshipPosition,RacesWon,Podiums,PolePositions,FastestLaps,InvertedChampionshipPosition,SeasonLabel,ScaledInvertedChampionshipPosition
0,1973,17.0,0.0,0.0,0.0,0.0,1.0,1973 (17),0.5882352941176471
1,1974,4.0,2.0,5.0,9.0,3.0,14.0,1974 (4),8.23529411764706
2,1975,1.0,5.0,8.0,9.0,2.0,17.0,1975 (1),10.0
3,1976,2.0,5.0,9.0,3.0,4.0,16.0,1976 (2),9.411764705882353
4,1977,1.0,3.0,10.0,2.0,3.0,17.0,1977 (1),10.0
5,1978,4.0,2.0,7.0,1.0,4.0,14.0,1978 (4),8.23529411764706
6,1979,14.0,0.0,0.0,0.0,0.0,4.0,1979 (14),2.3529411764705883
7,1982,5.0,2.0,3.0,0.0,1.0,13.0,1982 (5),7.647058823529412
8,1983,10.0,0.0,2.0,0.0,1.0,8.0,1983 (10),4.705882352941177
9,1984,1.0,5.0,9.0,0.0,5.0,17.0,1984 (1),10.0
10,1985,10.0,1.0,1.0,0.0,1.0,8.0,1985 (10),4.705882352941177
