,Season,ChampionshipPosition
0,1973,10.0
1,1974,10.0
2,1975,9.0
3,1978,9.0
4,1979,2.0
5,1980,1.0
6,1981,1.0
7,1982,4.0
8,1983,4.0
9,1984,6.0
10,1985,4.0
11,1986,1.0
12,1987,1.0
13,1988,7.0
14,1989,2.0
15,1990,4.0
16,1991,2.0
17,1992,1.0
18,1993,1.0
19,1994,1.0
20,1995,2.0
21,1996,1.0
22,1997,1.0
23,1998,3.0
24,1999,5.0
25,2000,3.0
26,2001,3.0
27,2002,2.0
28,2003,2.0
29,2004,4.0
30,2005,5.0
31,2006,8.0
32,2007,4.0
33,2008,8.0
34,2009,7.0
35,2010,6.0
36,2011,9.0
37,2012,8.0
38,2013,9.0
39,2014,3.0
40,2015,3.0
41,2016,5.0
42,2017,5.0
43,2018,10.0
44,2019,10.0
45,2020,10.0
46,2021,8.0
47,2022,10.0
48,2023,7.0
49,2024,9.0
